Date,Close/Last,Volume,Open,High,Low
10/18/2020,3483,N/A,3483,3483,3483
10/16/2020,3432.2,2,3483,3483,3483
10/15/2020,3475.4,5,3445.3,3445.4,3437.1
10/14/2020,3480.9,4,3500.7,3505.3,3495.8
10/13/2020,3504.8,4,3511.8,3519.5,3511.8
10/12/2020,3532.8,3,3484.3,3498.1,3484.3
10/09/2020,3473.3,16,3450.3,3451.9,3450.3
10/08/2020,3424.8,4,3426.7,3426.7,3424.8
10/07/2020,3406.8,6,3363.8,3380.2,3363.8
10/06/2020,3353.2,N/A,3353.2,3353.2,3353.2
10/05/2020,3392.9,N/A,3392.9,3392.9,3392.9
10/02/2020,3339.2,9,3361.2,3361.2,3304.7
10/01/2020,3367.7,N/A,3367.7,3367.7,3367.7
09/30/2020,3352,8,3316.3,3331.9,3303.2
09/29/2020,3297.9,N/A,3297.9,3297.9,3297.9
09/28/2020,3297.9,N/A,3297.9,3297.9,3297.9
09/25/2020,3287.3,2,3238.8,3238.8,3210.7
09/24/2020,3238,8,3228.4,3228.4,3217
09/23/2020,3231.2,16,3295.3,3307.9,3295.3
09/22/2020,3299.3,N/A,3299.3,3299.3,3299.3
09/21/2020,3275.1,13,3310.8,3310.8,3277.2
09/18/2020,3316.2,43,3346.7,3362,3346.4
09/17/2020,3351,4,3347.1,3347.1,3347.1
09/16/2020,3379.4,18,3394.2,3412,3394.1
09/15/2020,3395,25,3382,3393,3382
09/13/2020,3347.3,N/A,3347.3,3347.3,3347.3
09/11/2020,3372.2,N/A,3372.2,3372.2,3372.2
09/10/2020,3340.6,2,3387,3387,3386.9
09/09/2020,3400.3,2,3345.7,3355.6,3345.7
09/08/2020,3335.5,9,3401,3401,3372.8
09/04/2020,3417.6,23,3446.7,3469,3446.7
09/03/2020,3461.5,2,3567.1,3567.2,3567.1
09/02/2020,3579.2,6,3539.4,3539.4,3539.4
09/01/2020,3526.9,6,3504.6,3504.6,3504.6
08/31/2020,3498.9,N/A,3498.9,3498.9,3498.9
08/28/2020,3504.4,N/A,3504.4,3504.4,3504.4
08/27/2020,3485.3,N/A,3485.3,3485.3,3485.3
08/26/2020,3480.3,7,3444.7,3444.7,3443.8
08/25/2020,3442.9,N/A,3442.9,3442.9,3442.9
08/24/2020,3427.5,1,3420.4,3420.4,3420.4
08/21/2020,3372.7,N/A,3372.7,3372.7,3372.7
08/20/2020,3372.7,N/A,3372.7,3372.7,3372.7
08/19/2020,3372.7,N/A,3372.7,3372.7,3372.7
08/18/2020,3392.6,6,3386.3,3387,3386.3
08/16/2020,3372.7,N/A,3372.7,3372.7,3372.7
08/14/2020,3379.8,1,3372.7,3372.7,3372.7
08/13/2020,3370.1,N/A,3370.1,3370.1,3370.1
08/12/2020,3370.1,N/A,3370.1,3370.1,3370.1
08/11/2020,3367.7,11,3375.6,3375.6,3371.1
08/10/2020,3352.7,1,3346.2,3346.2,3346.2
08/07/2020,3344.8,1,3341.3,3341.3,3341.3
08/06/2020,3344.3,N/A,3344.3,3344.3,3344.3
08/05/2020,3316,25,3315,3315,3314.9
08/04/2020,3299.9,1,3288.9,3288.9,3288.9
08/03/2020,3288.4,N/A,3288.4,3288.4,3288.4
07/31/2020,3263.5,1,3258.7,3258.7,3258.7
07/30/2020,3248.8,2,3244.6,3245,3244.6
07/29/2020,3252.4,43,3217.6,3255.2,3217.6
07/28/2020,3213,N/A,3213,3213,3213
07/27/2020,3232.2,1,3217.1,3217.1,3217.1
